checkpoint_label,checkpoint,sample,split,precision,recall,dice
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_29_y0768_x0768,val,0.838594,0.923274,0.878899
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_29_y1536_x0000,train,0.859813,0.904494,0.881588
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_31_y0512_x0768,train,0.943956,0.921180,0.932429
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,YOU_33_y2048_x1024,train,0.824494,0.850534,0.837312
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_26_y0000_x1024,train,0.966395,0.931946,0.948858
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_26_y0256_x0000,train,0.916252,0.918330,0.917290
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_26_y0256_x1536,train,0.947799,0.919327,0.933346
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_26_y0768_x0512,test,0.658289,0.991409,0.791216
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_26_y1024_x0256,train,0.954016,0.930742,0.942235
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_26_y1024_x1024,train,0.984097,0.891148,0.935319
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_26_y1024_x1280,val,0.874817,0.906384,0.890321
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_26_y1024_x1792,train,0.941434,0.930503,0.935937
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_26_y1280_x0512,test,0.883986,0.939559,0.910926
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_26_y1792_x1792,val,0.850251,0.937014,0.891526
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_27_y0512_x1024,train,0.945838,0.931358,0.938542
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,YOU_27_y0512_x1280,train,0.926779,0.951365,0.938911
